P_NUMBER,WELL_NAME,X_LAMBERT,Y_LAMBERT,LONG_WGS_84,LAT_WGS_84,LOCAL_AQ_NAME
381639,WTS-91A,2803501.96,3156080.04,-90.222831,41.701192,SANKOTY
381640,WTS-91B,2828328.42,3147943.63,-90.13131,41.679274,TAMPICO
381641,WTS-91C,2862101.98,3131103.43,-90.006782,41.633435,SANKOTY
381642,WTS-91D,2862090.08,3131104.63,-90.006826,41.633438,TAMPICO
381643,WTS-91E,2895972.75,3131330.63,-89.88233,41.634519,SANKOTY
381644,WTS-91F,2895972.78,3131336.17,-89.88233,41.634534,TAMPICO
381645,WTS-91G,2932200.71,3160203.3,-89.749504,41.714454,SANKOTY
381646,WTS-91H,2932192.98,3160203.87,-89.749532,41.714456,TAMPICO
381647,WTS-91I,2948266.73,3149833.57,-89.69032,41.685978,SANKOTY
381648,WTS-91J,2948257.32,3149830.37,-89.690354,41.685969,TAMPICO
381649,HRY-91A,2880877.98,3107392.48,-89.93737,41.568341,SANKOTY
381650,HRY-91B,2880869.23,3107392.79,-89.937402,41.568342,TAMPICO
381651,HRY-91C,2880881.68,3072065.43,-89.936731,41.470948,SANKOTY
381652,HRY-91D,2880893.07,3072065.38,-89.93669,41.470948,TAMPICO
381653,LEE-91A,2964218.08,3126277.92,-89.631535,41.621124,SANKOTY
381654,LEE-91B,2964209.15,3126277.93,-89.631568,41.621124,TAMPICO
381655,LEE-92A,2977706.07,3144629.59,-89.582046,41.671756,SANKOTY
381656,LEE-92B,2977715.6,3144629.55,-89.582011,41.671756,TAMPICO
381657,LEE-92C,3013891.19,3139616.54,-89.449021,41.657955,SANKOTY
381658,LEE-92D,3013892.18,3139605.82,-89.449018,41.657925,TAMPICO
381659,LEE-92E,2995418.0,3129030.52,-89.516916,41.628783,SANKOTY
381660,LEE-92F,2995398.56,3129031.91,-89.516988,41.628787,TAMPICO
381661,LEE-92G,3011381.6,3118346.83,-89.45828,41.599325,SANKOTY
381662,BUR-91A,2921846.58,3110106.25,-89.787009,41.576273,SANKOTY
381663,BUR-91B,2921856.98,3110106.18,-89.78697,41.576273,TAMPICO
381664,BUR-91C,2949145.15,3105080.92,-89.686748,41.562616,SANKOTY
381665,BUR-91D,2975563.36,3113149.13,-89.589807,41.584969,SANKOTY
381666,BUR-91E,2948869.63,3072207.49,-89.687508,41.471984,SANKOTY
381668,BUR-92A,2908679.83,3091874.84,-89.8351,41.525887,SANKOTY
381669,BUR-92B,2908679.96,3091895.0,-89.8351,41.525943,TAMPICO
381671,BUR-92D,2973993.41,3080904.41,-89.595445,41.49607,SANKOTY
381672,BUR-92E,3008792.09,3080474.36,-89.467837,41.494918,SANKOTY
381673,BUR-92F,2992954.15,3064954.81,-89.525898,41.452131,SANKOTY
381674,BUR-95A,3036614.31,3070120.1,-89.36587,41.4663,SANKOTY
381675,BUR-95B,2981381.87,3033499.43,-89.56822,41.365385,SANKOTY
381676,BUR-95C,2999698.85,3033900.63,-89.501179,41.366511,SANKOTY
381677,BUR-95D,3010707.23,3008707.86,-89.460927,41.297037,SANKOTY
381678,BUR-95E,3034592.47,2998082.83,-89.373648,41.267678,SANKOTY
